0 0.01 -1.88486e-009  0.004 1.77636e-018 0.004
0.837 0.00359401 -0.0834664  0.000516677 0.00348332 0.004
0.838 0.0035104 -0.0837506  0.000492917 0.00350708 0.004
0.839 0.00342651 -0.0840281  0.000469639 0.00353036 0.004
0.84 0.00334235 -0.0842989  0.000446852 0.00355315 0.004
0.841 0.00325792 -0.0845629  0.000424561 0.00357544 0.004
0.842 0.00317322 -0.0848201  0.000402774 0.00359723 0.004
0.843 0.00308828 -0.0850706  0.000381499 0.0036185 0.004
0.844 0.00300309 -0.0853142  0.000360741 0.00363926 0.004
0.845 0.00291765 -0.0855511  0.000340508 0.00365949 0.004
0.846 0.00283199 -0.0857811  0.000320806 0.00367919 0.004
0.847 0.00274609 -0.0860042  0.000301641 0.00369836 0.004
0.848 0.00265998 -0.0862204  0.00028302 0.00371698 0.004
0.849 0.00257365 -0.0864298  0.000264948 0.00373505 0.004
0.85 0.00248712 -0.0866322  0.000247431 0.00375257 0.004
0.851 0.00240039 -0.0868277  0.000230475 0.00376952 0.004
0.852 0.00231347 -0.0870163  0.000214086 0.00378591 0.004
0.853 0.00222636 -0.0871979  0.000198267 0.00380173 0.004
0.854 0.00213908 -0.0873725  0.000183026 0.00381697 0.004
0.855 0.00205162 -0.0875401  0.000168366 0.00383163 0.004
0.856 0.001964 -0.0877007  0.000154292 0.00384571 0.004
0.857 0.00187622 -0.0878543  0.000140808 0.00385919 0.004
0.858 0.00178829 -0.0880009  0.000127919 0.00387208 0.004
0.859 0.00170022 -0.0881405  0.00011563 0.00388437 0.004
0.86 0.00161201 -0.0882729  0.000103943 0.00389606 0.004
0.861 0.00152368 -0.0883984  9.28637e-005 0.00390714 0.004
0.862 0.00143522 -0.0885167  8.23941e-005 0.00391761 0.004
0.863 0.00134665 -0.088628  7.25382e-005 0.00392746 0.004
0.864 0.00125797 -0.0887322  6.32991e-005 0.0039367 0.004
0.865 0.00116918 -0.0888293  5.46796e-005 0.00394532 0.004
0.866 0.00108031 -0.0889193  4.66827e-005 0.00395332 0.004
0.867 0.000991348 -0.0890021  3.93108e-005 0.00396069 0.004
0.868 0.000902307 -0.0890779  3.25663e-005 0.00396743 0.004
0.869 0.000813194 -0.0891465  2.64514e-005 0.00397355 0.004
0.87 0.000724016 -0.089208  2.0968e-005 0.00397903 0.004
0.871 0.000634781 -0.0892623  1.61179e-005 0.00398388 0.004
0.872 0.000545494 -0.0893095  1.19026e-005 0.0039881 0.004
0.873 0.000456164 -0.0893496  8.32342e-006 0.00399168 0.004
0.874 0.000366797 -0.0893825  5.38161e-006 0.00399462 0.004
0.875 0.000277401 -0.0894083  3.07806e-006 0.00399692 0.004
0.876 0.000187983 -0.0894269  1.41351e-006 0.00399859 0.004
0.877 9.85499e-005 -0.0894384  3.88483e-007 0.00399961 0.004
0.878 9.10876e-006 -0.0894427  3.31878e-009 0.004 0.004
0.879 -8.03331e-005 -0.0894398  2.58136e-007 0.00399974 0.004
0.88 -0.000169769 -0.0894298  1.15285e-006 0.00399885 0.004
0.881 -0.00025919 -0.0894127  2.68719e-006 0.00399731 0.004
0.882 -0.000348591 -0.0893884  4.86064e-006 0.00399514 0.004
0.883 -0.000437965 -0.0893569  7.67252e-006 0.00399233 0.004
0.884 -0.000527303 -0.0893183  1.11219e-005 0.00398888 0.004
0.885 -0.000616599 -0.0892725  1.52078e-005 0.00398479 0.004
0.886 -0.000705846 -0.0892196  1.99287e-005 0.00398007 0.004
0.887 -0.000795036 -0.0891596  2.52833e-005 0.00397472 0.004
0.888 -0.000884162 -0.0890924  3.12697e-005 0.00396873 0.004
0.889 -0.000973218 -0.0890181  3.78862e-005 0.00396211 0.004
0.89 -0.0010622 -0.0889367  4.51304e-005 0.00395487 0.004
0.891 -0.00115109 -0.0888482  5.30003e-005 0.003947 0.004
0.892 -0.00123989 -0.0887525  6.14931e-005 0.00393851 0.004
0.893 -0.00132859 -0.0886498  7.06063e-005 0.00392939 0.004
0.894 -0.00141719 -0.08854  8.03368e-005 0.00391966 0.004
0.895 -0.00150567 -0.0884231  9.06816e-005 0.00390932 0.004
0.896 -0.00159403 -0.0882991  0.000101637 0.00389836 0.004
0.897 -0.00168227 -0.088168  0.000113201 0.0038868 0.004
0.898 -0.00177036 -0.0880299  0.000125368 0.00387463 0.004
0.899 -0.00185832 -0.0878848  0.000138135 0.00386187 0.004
0.9 -0.00194613 -0.0877326  0.000151497 0.0038485 0.004
0.901 -0.00203379 -0.0875734  0.000165451 0.00383455 0.004
0.902 -0.00212128 -0.0874072  0.000179993 0.00382001 0.004
0.903 -0.0022086 -0.087234  0.000195116 0.00380488 0.004
0.904 -0.00229574 -0.0870538  0.000210817 0.00378918 0.004
0.905 -0.0023827 -0.0868667  0.000227091 0.00377291 0.004
0.906 -0.00246947 -0.0866726  0.000243932 0.00375607 0.004
0.907 -0.00255605 -0.0864716  0.000261335 0.00373867 0.004
0.908 -0.00264241 -0.0862636  0.000279294 0.00372071 0.004
0.909 -0.00272857 -0.0860488  0.000297804 0.0037022 0.004
0.91 -0.00281451 -0.0858271  0.000316858 0.00368314 0.004
0.911 -0.00290022 -0.0855985  0.000336452 0.00366355 0.004
0.912 -0.0029857 -0.085363  0.000356577 0.00364342 0.004
0.913 -0.00307095 -0.0851208  0.000377228 0.00362277 0.004
0.914 -0.00315594 -0.0848717  0.000398399 0.0036016 0.004
0.915 -0.00324069 -0.0846158  0.000420082 0.00357992 0.004
0.916 -0.00332517 -0.0843532  0.000442271 0.00355773 0.004
0.917 -0.00340939 -0.0840838  0.000464958 0.00353504 0.004
0.918 -0.00349334 -0.0838077  0.000488136 0.00351186 0.004
0.919 -0.003577 -0.0835249  0.000511799 0.0034882 0.004
0.92 -0.00366039 -0.0832354  0.000535937 0.00346406 0.004
0.921 -0.00374347 -0.0829392  0.000560544 0.00343946 0.004
0.922 -0.00382626 -0.0826364  0.000585611 0.00341439 0.004
0.923 -0.00390874 -0.082327  0.000611131 0.00338887 0.004
0.924 -0.00399091 -0.082011  0.000637096 0.0033629 0.004
0.925 -0.00407276 -0.0816885  0.000663496 0.0033365 0.004
0.926 -0.00415429 -0.0813594  0.000690324 0.00330968 0.004
0.927 -0.00423548 -0.0810238  0.000717572 0.00328243 0.004
0.928 -0.00431633 -0.0806817  0.000745229 0.00325477 0.004
0.929 -0.00439684 -0.0803332  0.000773289 0.00322671 0.004
0.93 -0.004477 -0.0799782  0.00080174 0.00319826 0.004
0.931 -0.0045568 -0.0796169  0.000830576 0.00316942 0.004
0.932 -0.00463623 -0.0792492  0.000859785 0.00314022 0.004
0.933 -0.00471529 -0.0788751  0.000889359 0.00311064 0.004
0.934 -0.00479398 -0.0784947  0.000919289 0.00308071 0.004
0.935 -0.00487228 -0.0781081  0.000949564 0.00305044 0.004
0.936 -0.00495019 -0.0777152  0.000980176 0.00301982 0.004
0.937 -0.00502771 -0.0773161  0.00101111 0.00298889 0.004
0.938 -0.00510482 -0.0769108  0.00104237 0.00295763 0.004
0.939 -0.00518153 -0.0764993  0.00107393 0.00292607 0.004
0.94 -0.00525782 -0.0760817  0.00110579 0.00289421 0.004
0.941 -0.00533369 -0.0756581  0.00113793 0.00286207 0.004
0.942 -0.00540913 -0.0752283  0.00117035 0.00282965 0.004
0.943 -0.00548414 -0.0747926  0.00120303 0.00279697 0.004
0.944 -0.00555872 -0.0743509  0.00123597 0.00276403 0.004
0.945 -0.00563284 -0.0739032  0.00126916 0.00273084 0.004
0.946 -0.00570652 -0.0734496  0.00130257 0.00269743 0.004
0.947 -0.00577974 -0.0729902  0.00133622 0.00266378 0.004
0.948 -0.0058525 -0.0725249  0.00137007 0.00262993 0.004
0.949 -0.00592479 -0.0720538  0.00140412 0.00259588 0.004
0.95 -0.0059966 -0.0715769  0.00143837 0.00256163 0.004
0.951 -0.00606794 -0.0710944  0.0014728 0.0025272 0.004
0.952 -0.00613879 -0.0706061  0.00150739 0.00249261 0.004
0.953 -0.00620915 -0.0701122  0.00154214 0.00245786 0.004
0.954 -0.00627901 -0.0696126  0.00157704 0.00242296 0.004
0.955 -0.00634837 -0.0691075  0.00161207 0.00238793 0.004
0.956 -0.00641723 -0.0685969  0.00164723 0.00235277 0.004
0.957 -0.00648557 -0.0680808  0.0016825 0.0023175 0.004
0.958 -0.00655339 -0.0675592  0.00171787 0.00228213 0.004
0.959 -0.00662068 -0.0670323  0.00175334 0.00224666 0.004
0.96 -0.00668745 -0.0664999  0.00178888 0.00221112 0.004
0.961 -0.00675368 -0.0659623  0.00182449 0.00217551 0.004
0.962 -0.00681937 -0.0654194  0.00186015 0.00213985 0.004
0.963 -0.00688452 -0.0648712  0.00189586 0.00210414 0.004
0.964 -0.00694911 -0.0643179  0.00193161 0.00206839 0.004
0.965 -0.00701315 -0.0637594  0.00196737 0.00203263 0.004
0.966 -0.00707663 -0.0631958  0.00200315 0.00199685 0.004
0.967 -0.00713954 -0.0626271  0.00203892 0.00196108 0.004
0.968 -0.00720188 -0.0620535  0.00207468 0.00192532 0.004
0.969 -0.00726365 -0.0614748  0.00211042 0.00188958 0.004
0.97 -0.00732483 -0.0608913  0.00214613 0.00185387 0.004
0.971 -0.00738543 -0.0603029  0.00218178 0.00181822 0.004
0.972 -0.00744543 -0.0597096  0.00221738 0.00178262 0.004
0.973 -0.00750485 -0.0591116  0.00225291 0.00174709 0.004
0.974 -0.00756366 -0.0585089  0.00228836 0.00171164 0.004
0.975 -0.00762186 -0.0579015  0.00232371 0.00167629 0.004
0.976 -0.00767946 -0.0572894  0.00235896 0.00164104 0.004
0.977 -0.00773644 -0.0566728  0.0023941 0.0016059 0.004
0.978 -0.0077928 -0.0560516  0.00242911 0.00157089 0.004
0.979 -0.00784854 -0.0554259  0.00246398 0.00153602 0.004
0.98 -0.00790365 -0.0547958  0.00249871 0.00150129 0.004
0.981 -0.00795813 -0.0541614  0.00253327 0.00146673 0.004
0.982 -0.00801197 -0.0535225  0.00256767 0.00143233 0.004
0.983 -0.00806517 -0.0528795  0.00260188 0.00139812 0.004
0.984 -0.00811773 -0.0522321  0.0026359 0.0013641 0.004
0.985 -0.00816964 -0.0515806  0.00266972 0.00133028 0.004
0.986 -0.00822089 -0.050925  0.00270332 0.00129668 0.004
0.987 -0.00827149 -0.0502653  0.0027367 0.0012633 0.004
0.988 -0.00832142 -0.0496016  0.00276984 0.00123016 0.004
0.989 -0.00837069 -0.0489339  0.00280274 0.00119726 0.004
0.99 -0.00841929 -0.0482623  0.00283538 0.00116462 0.004
0.991 -0.00846721 -0.0475868  0.00286775 0.00113225 0.004
0.992 -0.00851446 -0.0469076  0.00289984 0.00110016 0.004
0.993 -0.00856103 -0.0462245  0.00293165 0.00106835 0.004
0.994 -0.00860691 -0.0455378  0.00296315 0.00103685 0.004
0.995 -0.0086521 -0.0448475  0.00299435 0.00100565 0.004
0.996 -0.0086966 -0.0441535  0.00302523 0.000974766 0.004
0.997 -0.00874041 -0.043456  0.00305579 0.000944213 0.004
0.998 -0.00878351 -0.0427551  0.003086 0.000913997 0.004
0.999 -0.00882591 -0.0420507  0.00311587 0.000884129 0.004
