0 0.01 -1.88486e-009  0.004 1.77636e-018 0.004
0.177 -0.000123395 -0.0894359  6.09054e-007 0.00399939 0.004
0.178 -0.000212825 -0.0894225  1.81178e-006 0.00399819 0.004
0.179 -0.000302238 -0.0894019  3.6539e-006 0.00399635 0.004
0.18 -0.000391626 -0.0893741  6.13484e-006 0.00399387 0.004
0.181 -0.000480983 -0.0893392  9.2538e-006 0.00399075 0.004
0.182 -0.000570302 -0.0892971  1.30098e-005 0.00398699 0.004
0.183 -0.000659575 -0.089248  1.74016e-005 0.0039826 0.004
0.184 -0.000748796 -0.0891916  2.24278e-005 0.00397757 0.004
0.185 -0.000837956 -0.0891281  2.80868e-005 0.00397191 0.004
0.186 -0.00092705 -0.0890575  3.43768e-005 0.00396562 0.004
0.187 -0.00101607 -0.0889798  4.12958e-005 0.0039587 0.004
0.188 -0.00110501 -0.088895  4.88416e-005 0.00395116 0.004
0.189 -0.00119386 -0.088803  5.70117e-005 0.00394299 0.004
0.19 -0.00128261 -0.088704  6.58036e-005 0.0039342 0.004
0.191 -0.00137126 -0.0885978  7.52144e-005 0.00392479 0.004
0.192 -0.0014598 -0.0884846  8.52411e-005 0.00391476 0.004
0.193 -0.00154823 -0.0883642  9.58805e-005 0.00390412 0.004
0.194 -0.00163653 -0.0882368  0.000107129 0.00389287 0.004
0.195 -0.0017247 -0.0881024  0.000118984 0.00388102 0.004
0.196 -0.00181273 -0.0879609  0.00013144 0.00386856 0.004
0.197 -0.00190062 -0.0878124  0.000144494 0.00385551 0.004
0.198 -0.00198835 -0.0876568  0.000158142 0.00384186 0.004
0.199 -0.00207593 -0.0874942  0.00017238 0.00382762 0.004
0.2 -0.00216334 -0.0873247  0.000187202 0.0038128 0.004
0.201 -0.00225058 -0.0871481  0.000202604 0.0037974 0.004
0.202 -0.00233763 -0.0869646  0.000218581 0.00378142 0.004
0.203 -0.0024245 -0.0867741  0.000235129 0.00376487 0.004
0.204 -0.00251118 -0.0865767  0.000252241 0.00374776 0.004
0.205 -0.00259766 -0.0863723  0.000269913 0.00373009 0.004
0.206 -0.00268392 -0.086161  0.000288138 0.00371186 0.004
0.207 -0.00276998 -0.0859429  0.000306911 0.00369309 0.004
0.208 -0.00285581 -0.0857178  0.000326225 0.00367377 0.004
0.209 -0.00294141 -0.085486  0.000346075 0.00365392 0.004
0.21 -0.00302678 -0.0852472  0.000366455 0.00363355 0.004
0.211 -0.0031119 -0.0850017  0.000387357 0.00361264 0.004
0.212 -0.00319678 -0.0847493  0.000408775 0.00359122 0.004
0.213 -0.0032814 -0.0844902  0.000430703 0.0035693 0.004
0.214 -0.00336576 -0.0842243  0.000453132 0.00354687 0.004
0.215 -0.00344984 -0.0839517  0.000476057 0.00352394 0.004
0.216 -0.00353366 -0.0836723  0.000499469 0.00350053 0.004
0.217 -0.00361719 -0.0833863  0.000523361 0.00347664 0.004
0.218 -0.00370043 -0.0830936  0.000547726 0.00345227 0.004
0.219 -0.00378337 -0.0827943  0.000572556 0.00342744 0.004
0.22 -0.00386601 -0.0824883  0.000597842 0.00340216 0.004
0.221 -0.00394835 -0.0821757  0.000623577 0.00337642 0.004
0.222 -0.00403036 -0.0818565  0.000649753 0.00335025 0.004
0.223 -0.00411206 -0.0815308  0.00067636 0.00332364 0.004
0.224 -0.00419342 -0.0811986  0.000703391 0.00329661 0.004
0.225 -0.00427445 -0.0808599  0.000730837 0.00326916 0.004
0.226 -0.00435514 -0.0805147  0.00075869 0.00324131 0.004
0.227 -0.00443548 -0.0801631  0.000786939 0.00321306 0.004
0.228 -0.00451546 -0.0798051  0.000815576 0.00318442 0.004
0.229 -0.00459509 -0.0794406  0.000844593 0.00315541 0.004
0.23 -0.00467434 -0.0790699  0.000873979 0.00312602 0.004
0.231 -0.00475322 -0.0786927  0.000903726 0.00309627 0.004
0.232 -0.00483173 -0.0783093  0.000933823 0.00306618 0.004
0.233 -0.00490984 -0.0779197  0.000964262 0.00303574 0.004
0.234 -0.00498756 -0.0775238  0.000995032 0.00300497 0.004
0.235 -0.00506489 -0.0771217  0.00102612 0.00297388 0.004
0.236 -0.0051418 -0.0767134  0.00105753 0.00294247 0.004
0.237 -0.00521831 -0.076299  0.00108923 0.00291077 0.004
0.238 -0.0052944 -0.0758785  0.00112123 0.00287877 0.004
0.239 -0.00537007 -0.0754519  0.0011535 0.0028465 0.004
0.24 -0.0054453 -0.0750193  0.00118605 0.00281395 0.004
0.241 -0.0055201 -0.0745807  0.00121886 0.00278114 0.004
0.242 -0.00559446 -0.0741361  0.00125192 0.00274808 0.004
0.243 -0.00566837 -0.0736856  0.00128522 0.00271478 0.004
0.244 -0.00574183 -0.0732292  0.00131874 0.00268126 0.004
0.245 -0.00581483 -0.0727669  0.00135249 0.00264751 0.004
0.246 -0.00588736 -0.0722988  0.00138644 0.00261356 0.004
0.247 -0.00595943 -0.0718249  0.00142059 0.00257941 0.004
0.248 -0.00603101 -0.0713453  0.00145492 0.00254508 0.004
0.249 -0.00610211 -0.07086  0.00148943 0.00251057 0.004
0.25 -0.00617273 -0.070369  0.0015241 0.0024759 0.004
0.251 -0.00624285 -0.0698724  0.00155893 0.00244107 0.004
0.252 -0.00631247 -0.0693701  0.00159389 0.00240611 0.004
0.253 -0.00638159 -0.0688624  0.00162899 0.00237101 0.004
0.254 -0.00645019 -0.0683491  0.0016642 0.0023358 0.004
0.255 -0.00651828 -0.0678304  0.00169952 0.00230048 0.004
0.256 -0.00658585 -0.0673062  0.00173494 0.00226506 0.004
0.257 -0.0066529 -0.0667766  0.00177044 0.00222956 0.004
0.258 -0.00671941 -0.0662417  0.00180602 0.00219398 0.004
0.259 -0.00678538 -0.0657015  0.00184165 0.00215835 0.004
0.26 -0.00685081 -0.0651561  0.00187734 0.00212266 0.004
0.261 -0.00691569 -0.0646054  0.00191307 0.00208693 0.004
0.262 -0.00698002 -0.0640496  0.00194882 0.00205118 0.004
0.263 -0.00704379 -0.0634886  0.0019846 0.0020154 0.004
0.264 -0.00710699 -0.0629226  0.00202037 0.00197963 0.004
0.265 -0.00716963 -0.0623515  0.00205614 0.00194386 0.004
0.266 -0.00723169 -0.0617755  0.0020919 0.0019081 0.004
0.267 -0.00729318 -0.0611945  0.00212762 0.00187238 0.004
0.268 -0.00735408 -0.0606086  0.0021633 0.0018367 0.004
0.269 -0.00741439 -0.0600178  0.00219893 0.00180107 0.004
0.27 -0.00747411 -0.0594223  0.0022345 0.0017655 0.004
0.271 -0.00753324 -0.058822  0.00226999 0.00173001 0.004
0.272 -0.00759176 -0.058217  0.00230539 0.00169461 0.004
0.273 -0.00764967 -0.0576073  0.0023407 0.0016593 0.004
0.274 -0.00770697 -0.0569931  0.0023759 0.0016241 0.004
0.275 -0.00776365 -0.0563742  0.00241097 0.00158903 0.004
0.276 -0.00781972 -0.0557509  0.00244592 0.00155408 0.004
0.277 -0.00787515 -0.0551231  0.00248072 0.00151928 0.004
0.278 -0.00792996 -0.0544909  0.00251537 0.00148463 0.004
0.279 -0.00798413 -0.0538543  0.00254986 0.00145014 0.004
0.28 -0.00803767 -0.0532134  0.00258416 0.00141584 0.004
0.281 -0.00809056 -0.0525683  0.00261829 0.00138171 0.004
0.282 -0.0081428 -0.051919  0.00265221 0.00134779 0.004
0.283 -0.0081944 -0.0512655  0.00268593 0.00131407 0.004
0.284 -0.00824533 -0.0506079  0.00271942 0.00128058 0.004
0.285 -0.00829561 -0.0499462  0.00275269 0.00124731 0.004
0.286 -0.00834522 -0.0492806  0.00278571 0.00121429 0.004
0.287 -0.00839417 -0.048611  0.00281848 0.00118152 0.004
0.288 -0.00844245 -0.0479376  0.002851 0.001149 0.004
